Symbol	Uniprot_ID	Norm.Ratio.1	Norm.Ratio.2	Norm.Ratio.3
CG18586	Q9VRQ5	0.01144255	0.5076171	0.6080522
CG18591	Q9VLV5	0.1633811	0.171463	0.3518545
CG18596	Q9VD22	-0.5062973	-0.5238568	-0.2778488
CG18600	Q9VE94	-1.446944		-1.610786
CG18624-RB	Q9W3N7	0.222616	0.532666	
CG18661	Q9VLF6	-0.5583656		NaN
CG1868	A1Z7W1	-0.1607912		-0.0710878
CG18749	Q6NL44	0.6682948	0.03759303	0.4314625
CG18789	Q9I7N3	-0.479334	-0.1090008	-0.1961117
CG18811	Q9I7D3	-0.2814312	-0.04370539	0.07696952
CG18812	Q7JUR6		-0.6771028	NaN
CG18815	Q9I7R0	-0.2110122	-0.1102928	0.06543438
CG1882	Q5U191	0.7727272	-0.1274313	0.2505978
CG1885	Q9W3B3	-0.6419159	0.5115693	-0.0565512
CG18858	Q9I7L9	1.837429	0.1184926	0.6327336
CG18861	Q8SWQ9	0.2679827	-0.1141914	0.09747601
CG1890	Q9V9U7	0.6794807	0.4997821	0.4900566
CG1902	Q7K1M4	0.5823824	-1.362789	-1.228605
CG1905	Q8SY41	-0.01649632	0.01049345	0.0441843
CG1907	Q9VAJ9	0.00459512	-0.0151263	0.1439158
CG1939	Q8SWY7	0.4763978	-0.4245134	0.1036654
CG1943	Q9VI56	2.433233	2.065538	1.590674
CG1950	Q8T487			0.4232016
CG1951	Q9VAR0	0.2616386	-0.06555144	
CG1957	Q9V3D6	0.7372542	0.6127771	0.7740808
CG1962	Q9VIK6	2.366987	0.7812338	1.441058
CG1968	Q9V564-1	0.05913416	-0.3745799	-0.3327709
CG1969	Q9VAI0	NaN	-1.00787	0.0439044
CG1970-RA	Q9V4E0	0.03540178	-0.6901952	0.2801249
CG1972	Q9VAH9	0.1480171	0.1773438	0.07121356
CG1973-RA	Q9VAH7	NaN		
CG1983	Q9VA97		0.434348	0.1309309
CG2003	Q8SYP2	NaN		NaN
CG2004	Q9W3C3	1.46941	0.7952682	0.7430409
CG2006	Q8SX75			NaN
CG2014	Q9VAK5	2.030914	-0.3214773	0.4405271
CG2021	Q9W087	0.6438562	-1.325648	
CG2023	Q9VNI9	NaN		NaN
CG2025	Q5U158	0.6537181	0.340961	0.1677432
CG2046	Q9VNI4	-0.4182439	0.1222089	-0.1006542
CG2051	Q0KIB3	0.7468578	1.085153	1.039349
CG2059	Q9W3R8			-1.455534
CG2061	Q9Y0Y7			NaN
CG2063	Q7K0K1	-0.1055439	0.4476321	
CG2076	Q9VZ34	-0.820812	0.2567692	0.3634514
CG2091	Q9VNH5	-0.1797658	-0.5954239	0.2100148
CG2093	A1Z713	-0.7601783	-0.5488812	-0.1840148
CG2097	Q8MSU4	1.692315	0.5784073	0.5086315
CG2100	Q86P00	0.08669119		-0.148273
CG2107	Q8MQY1	0.2414581	0.2930173	0.05241581
CG2118	Q8I0S9	0.06515896	-0.0231232	-0.1592991
CG2124	Q86CW0	NaN		
CG2137	A1Z707			NaN
CG2147	Q9W3H5			-2.843629
CG2158	Q7K0D8	-0.2976023	-0.5219912	-0.4317733
CG2162	Q8MRH9			-1.011675
CG2177	B7Z040	-0.6619321	0.08174868	
CG2182	Q9VNG1-1	-1.059009		
CG2183	Q7K5K0	0.2053637	-0.9093634	-0.8664892
CG2185	Q7K107	-0.2144979	-0.8843541	
CG2186	Q9VZ60		NaN	
CG2199	Q8IRH5	-2.518913	-0.6123066	-0.5071726
CG2200	Q9VYH3	-0.2772706	-0.1946911	-0.006318355
CG2201	Q2PDP3	2.372057		
CG2213	Q9W0G6	1.388129	0.834873	0.6586457
CG2219	Q9V4B2	-0.1759396		
CG2224	Q8T8R5	0.1812966		
CG2233	Q9W3L4	-0.7610299	-1.03626	-0.8396735
CG2246	Q7KRU0	1.067485	0.7098199	0.5213523
CG2247	Q9VYW5	1.142576	-1.285319	NaN
CG2260	Q9W3K3	-0.7124637	NaN	NaN
CG2263	Q9W3J5	-0.06626152	0.2005043	0.07176267
CG2264	A4UZB1	NaN		
CG2277	Q961B3	0.04180318		NaN
CG2310	Q7JZY1	-1.090311	-1.283878	
CG2316	Q7JUN3	-0.05852425		NaN
CG2446	Q9VYV4	-0.4916992	0.06736329	0.06515872
CG2469	Q7K0X3	0.131487	-0.3329708	0.2161133
CG2478	Q961K0	-0.4242772		
CG2493	Q9VIM0	0.7992697	0.9760703	0.6336637
CG2540	Q9VYK7	2.039132	-0.6250217	-0.552241
CG2543	Q8MRU3	-0.2342561		
CG2556	Q9VYM2	-0.004752986		-1.046504
Cg25C	P08120	-2.808509	-2.352547	-2.316384
CG2604	Q9VN86	-0.3112706	-0.03535736	0.05588976
CG2608	Q9VIL2	1.053793	2.304248	0.6375638
CG2611	Q9VIL1	-0.6373784		
CG2614	Q9VIK9	-0.6702058	-1.917188	-0.6779333
CG2656	Q9VI70			-0.02960276
CG2691	Q960Z7	-2.208392	-3.412562	-1.626513
CG2747	Q7KSW1	-0.3008851	0.05755419	0.145221
CG2765	Q9W0X5	-0.7097317		
CG2767	B7Z0V3	-0.6966171	-0.91997	-0.7873684
CG2774	Q8MS29	-0.1628546	-0.5734025	-0.1697284
CG2781	Q8MS02	-2.321322	NaN	NaN
CG2789	Q9VPR1	NaN		0.04026129
CG2791	Q8SYR7	-0.6546189	-0.259841	-0.4543479
CG2794	Q8MYS6	-0.2856981	-0.2729945	-0.3993497
CG2807	Q9VPR5	-0.3677065	0.03337007	-0.04232306
CG2812	Q9W1G4	-1.035835		
CG2813	Q9VPR7		NaN	
CG2818	Q8IQ03	0.4035228		0.7376868
CG2852	Q9W227	0.06435923	0.02389408	0.2163618
CG2862	Q86BQ4	0.1297024	0.3162616	0.2336426
CG2875	Q9W4R1	-1.268854	-1.82286	-2.971205
CG2907	Q8IGG7	0.04092728	0.3137102	0.1445685
CG2911	Q2XYG4	NaN		
CG2915	Q0E9F9	0.3010881	0.02616273	0.3036931
CG2921	Q9W298	0.5726299	-0.921964	-0.4944952
CG2931	Q9VND7	-0.2994792	-0.02908744	0.06818932
CG2941	Q9W4N9	-0.4094724	0.1275012	-0.002743753
CG2943	Q95TQ6	0.563625	0.2537472	0.2899525
CG2947	Q86DR2	-0.4347749	0.10165	0.5507037
CG2970	Q8T3K9	0.2609987	-0.07931032	0.2817873
CG2971	Q8SWX1	-0.2306949	-0.5187837	
CG2972	Q9W2Y4	-1.291368	-0.5149029	-1.273797
CG2974	Q9W2Y3	-0.02233225	0.1538053	NaN
CG2976	Q9VR31	0.08185803	-0.2092447	0.5449799
CG2982	Q7K4H4	-0.01306909	-0.01765071	0.04026129
CG2990	Q86D36	0.6707042	0.468114	0.7674853
CG30000	Q7K0B6	0.8320512	0.168257	0.4474205
CG30001-RA	A1Z7Z8	-0.3653566	1.086104	
CG30007	A1Z817			NaN
CG30010	Q8MKL1	NaN		NaN
CG30022	Q86PD3	0.6625972	0.7988385	0.7236022
CG30035	A1Z8N1			-0.5297599
CG3004	Q9W328	0.08500692	-0.6661183	0.3314759
CG30069	A1Z9M5	0.3047544		0.9468806
CG30085	Q9XZ34			-0.7216583
CG30094	Q7JR99	1.482855		
CG30105	A1ZAW6	1.888595	1.104806	1.425674
CG3011	Q9W457	0.3535793	0.2881813	0.3098746
CG30118	A8DYI2	0.9921156	1.205518	0.9294881
CG30122	A1ZBB4	-0.1531568	0.1236661	0.1642714
CG30152	Q9V968	-0.8888503		
CG3016	Q9W462	0.320306		
CG30185	Q8MKK1	-0.5070081	-0.2768347	0.1152996
CG30190	Q7JRH2	1.201676	0.9836777	1.210077
CG30194	Q7KVJ5			NaN
CG30197	Q8MKJ5	0.03426371	-0.3240215	
CG30290	Q8MKK3			0.4244922
CG30291	Q95SK3	-0.4520683	-1.032389	-1.210897
CG3033	Q961V1	-0.07983892	0.3937456	0.06488286
CG30342	Q7JVL3	1.402321	-0.907549	-0.1228055
CG30349	A1Z7K2	-1.523963	-1.944971	-1.755649
CG30359	Q5U124	0.2880823	0.6749126	0.6961719
CG30373	A1Z7B8	-0.7349155	-1.006101	NaN
CG30377	A1Z763	1.317211	1.31487	1.587941
CG30381	A8DY62			NaN
CG30387	B7YZM3	0.5276994	-0.1092187	0.5866926
CG30389	Q0E901	NaN		
CG30392	Q8MLW4	-0.08079411	-0.01295567	NaN
CG3040	Q9W3T9	0.4039427	1.032806	0.5779243
CG30410	Q8MLS2	-0.01092296	0.1409095	0.3624418
CG30415	Q0E8X7	-0.1462641	0.1306673	-0.07728459
CG3045	Q9W282	1.922976	0.3365119	NaN
CG30491	Q7JUS1	0.9773552	-0.3660946	0.1687703
CG30492	A8DY53	-1.011925		
CG30493	Q7JRC9	0.337284	-0.5502749	0.5545398
CG30497	A1Z743	-0.07409441	0.2715452	1.033018
CG30503	Q7JX94		NaN	
CG3061	Q9VFP0	-0.08542464	-0.3860912	-0.1352532
CG3074	Q7JWQ7	-2.008774	-2.354169	-1.692175
CG3077	Q9VQG1	-0.2434253		
CG3098	Q9VQI5	0.02020876	0.06060078	-0.1624765
CG31033	Q86BR6			NaN
CG31048	B7Z0R2	0.7675848	0.2809564	0.6627523
CG3107	B7YZR1	0.07318075	-0.479955	
CG3107	Q9V9E3			-0.2698426
CG31075	Q9VB96	0.6621634	0.2225573	0.494262
CG31109	Q9VBY9			NaN
CG31116	Q9VGH7-1		NaN	
CG31126	Q9VC53	-0.0984196	-0.1737912	0.1342209
CG31133	Q95T19	1.132989	-0.1092031	0.006908315
CG31142	Q8SYR5	-0.7225534	-0.4441642	NaN
CG31145	A4VCL2			NaN
CG31156	Q59DV5		-0.02902857	
CG31159	Q9VCX4	-1.235543	0.2200823	NaN
CG31184	Q8IGW7	0.2193204		0.2407417
CG31195	Q8IN49	-0.09125975	-0.5881832	-0.9289788
CG31251	Q8IN95			NaN
CG31278	Q9VGY2			NaN
CG31320	Q8INF7	1.424417	0.5332643	
CG31326	Q8ING0		1.612164	NaN
CG31360	Q8MZ28			NaN
CG31368	Q7KSN8	0.2950042	0.141302	0.06626152
CG31373	Q8INL3		-1.825619	-0.04290257
CG31413	Q8IMY4		-6.535633	
CG31460	Q8INQ7	NaN	-0.2600136	0.3309025
CG31472	Q7KSW3	1.350596	0.740539	0.1591125
CG31510-RA	Q9VBX4	-2.260808		NaN
CG31531	Q0KIC3	0.1120536		
CG3160	Q9W495	NaN		NaN
CG31635	A8DYW2			0.2352368
CG31643	Q960W0	1.43413	NaN	
CG31648	Q9VMQ6	1.78081		-0.06854387
CG31661	Q9VQ14	NaN		1.965212
CG31673	Q9VII9			-0.1606692
CG3168	Q9W3W9	1.196475	0.5986511	
CG31687	Q8INV1		0.646992	
CG31688	B7YZX9	0.1694688	-0.6851759	0.1300083
CG31689	Q8T998	NaN		
CG31715	Q8MYY7	-0.5105569	0.5778276	
CG31716	Q8IPB9	-0.8819778	-0.5186598	-0.0408382
CG31717	Q8T8T9		0.6381202	NaN
CG31729	Q9VK04	1.400111		NaN
CG3173	Q8IGA9	0.1846213	0.01464098	0.4268552
CG31731	Q0E8Q7	4.538078	NaN	
CG31755	Q9VL52	0.5001363	-0.885633	-0.2180109
CG31759	Q8T0G0	-0.3294107	0.1476974	0.23008
CG31832	Q7KT80		-1.227422	NaN
CG3184	Q9W3X3	NaN		NaN
CG31869	B7YZV0	-1.245191	-0.7753176	
CG31900	Q8IPG5	-2.168417	NaN	NaN
CG31917	Q9VMV7	NaN	-0.2692514	
CG31919	Q7KTP7	NaN	0.5203468	1.257312
CG3192	Q9W3X7	-0.1849785	0.1724875	0.1614362
CG31926	Q9VQ13	-4.264837	NaN	2.680369
CG31935	Q9VQ26	-0.007913023	0.2454957	0.5832303
CG31938	Q8IPX7	0.1198082	-0.2357048	-0.2098285
CG31950-RA	Q8IPZ7	-0.3627785	-0.04704028	NaN
CG31961	Q95TP0	1.720184	1.228049	0.3159139
CG3198	Q9W3X8	0.7959093	-0.6735777	NaN
CG32000	A8DZ26	0.4061013	0.3892364	
CG32016	Q86BR2	0.233142	0.3245803	-0.1359981
CG32022	Q8T481	0.670222	0.6137202	0.0425042
CG32068	Q6AWN0	1.260256	0.03618686	0.3219281
CG32069	Q9VTE1	1.023094	-0.2989212	0.9790742
CG3209	Q960R0	-0.08133958	-0.4158841	0.01877663
CG32103-RB	Q0E8F2	0.2002827		0.2719037
CG32104	Q9NHD0		-0.3934819	0.04236425
CG32109	Q9VU04		NaN	NaN
CG32133	Q9VUB7	0.989392	-0.3755528	-0.5222812
CG3214	Q8MSI7	0.06452513	0.5057893	0.2343786
CG32147	Q8SZB7	0.6639223		
CG32165	Q9I7R5	0.2390892	-0.8602162	NaN
CG32174	Q9VVG6			0.6362649
CG32202	Q4V604		-1.459417	
CG3223	Q9VHX2	0.3772757	0.1571731	0.08052122
CG32230	Q8SYJ2	-0.2267551	0.03407487	0.3518545
CG3224	Q9W3Y0	-2.590219		NaN
CG32243	Q8MZ22		-0.7805372	-0.518515
CG3225	Q9VR29	NaN		
CG32251	Q8IRB5	2.309645	1.082566	NaN
CG3226	Q9W3Y3	0.3171031	-0.1308708	0.4690524
CG32264	A8JNJ8	1.290074		
CG32264	Q7YU16			NaN
CG32267	Q8IRD0	-0.878843	0.09801521	
CG32281	Q8IRE4	0.1122408	-0.5967104	-0.650816
CG3229	Q8MRF8	1.44466E-05	-0.1686902	-0.0271456
CG32306	Q7KV98	0.7051705	0.8654438	1.109829
CG32350	Q8SX81	0.1054577		
CG32409	Q5U108	-2.337083	-1.662734	-2.954557
CG32441	Q6AWP4	0.5259742	-0.7429653	0.4799549
CG3246	Q8SXV8	-1.285521		-0.5091013
CG32495	Q8IQZ0	0.06878593		
CG32528	Q9VWD0		-1.642865	NaN
CG32549	Q7KUW2	0.7860742	0.2817873	0.3963788
CG32576	Q59E43	-0.1800205		
CG32602	Q8IR52	NaN		
CG3262	B7YZY7			0.3550163
CG3262	Q8SZU4	-0.2516888	-0.7607974	-0.2416116
CG32626	Q76NQ9	0.1459724	-0.5252473	-0.007275034
CG32638	Q8IR72	-0.1933301		
CG32640	Q8I079			NaN
CG32654	A8JUU1	-0.2459823	-0.08381383	0.1168971
CG32667	Q8IR95	-0.8281441	-0.2401453	
CG32699	Q0KHU5-1		-1.005435	-1.070058
CG32708	Q9W394		-2.480357	-2.590137
CG32737	Q9W3U7			NaN
CG32758	Q9W486	-0.2898344	0.04921259	-0.05542635
CG32776	Q2PE29			-0.5722222
CG32786	Q8IRT0			NaN
CG3279	Q9W0N6		-0.2717921	NaN
CG32795	A4V3W8	-0.5123786	-0.3856953	
CG32795	Q9U1M2			-1.17994
CG32850	Q8SX35	NaN		NaN
CG3287	A1Z6Q0	-1.629613	-2.387676	NaN
CG32920	Q960M4	0.4308006	0.3891262	-0.04480622
CG3295	Q9W2N5	1.518908	0.9186152	1.748933
CG32955	Q8IPA5		-1.439089	
CG32972	Q7KT96	-1.967095	-1.507952	-2.65272
CG3303	Q9VF14	0.1643346	0.07942928	0.01920368
CG3305	Q8SZP0	1.485358	1.751335	1.302582
CG33051	Q86BI8	-0.8065302	0.256286	
CG33052	Q8IQQ4	0.358528	0.2841587	
CG33054	Q8IPU1	1.120922		
CG33056	Q86BG8	-1.253203	-2.359934	NaN
CG3309	Q9W4D1			0.4718637
CG33090	Q7KT91	1.455337		1.796141
CG33096	Q9VBX8	2.262711	1.230818	1.391548
CG33099-RA	Q86B83	-0.6125885	-2.494759	NaN
CG33111	Q7YTY2	-0.02856912	-0.2953227	
CG33138	A1Z992	0.6817468	0.4023947	0.3550163
CG33156	A1Z9F4	0.001400102	0.02389408	0.3799537
CG33169	Q8SY72-2		-1.963363	
CG33172	Q86B53		0.4831579	NaN
CG33182	Q9V6L0	NaN		
CG33188	Q8WQ62	-1.8012	NaN	
CG33214	Q9VP27	0.6229762	0.7899379	0.6077682
CG33217	Q8MS38	-1.667892	-2.24448	-1.57175
CG33224	Q9W3A2	NaN	2.004106	NaN
CG33228	Q7KVF6	-0.1756843	-0.6713703	-0.2562524
CG3326	Q9VQN8		0.5065004	
CG33276	Q7KU86	1.599462		0.651224
CG33303	Q76NQ0	-0.2086421	-0.365983	0.009777201
CG3332	Q8IQ02	NaN		
CG3335	Q8MYR4	0.588769	-1.574841	-1.232023
CG3338	Q95TS1		NaN	0.09274875
CG33493	Q9VTB4	1.05116	-0.04957635	0.06308875
CG33506-RA	A1Z9W2	-0.04753833	0.5986511	-0.5827929
CG3353	Q9VDD0	-0.5772475	0.5459684	NaN
CG3356	Q9W196	1.7361	-0.5766262	-0.0750488
CG3358	Q7JUN9	0.2390382	-0.1411438	0.09071802
CG3362	Q9W197	0.1840311	-0.7559411	-0.05311942
CG3363	Q961M6			0.2881813
CG3364	Q7K332	-0.1736392	1.528471	0.6345932
CG33649	Q86BL4	NaN		
CG33672	A1Z933	0.8022353	0.6466236	
CG33714	Q0KHQ1	2.472649	0.6184266	0.3130136
CG3376	Q8MLP3	2.781802	0.1402552	
CG33936	Q4AB40			NaN
CG3394	Q8SXR7	1.084762	1.004465	0.6802343
CG33960	Q29QV5		-1.842646	
CG33966	Q2MGL8			NaN
CG3397	Q9VGF1	-0.5406225	NaN	NaN
CG33977-RA	Q2PDR0	0.2303806	-0.3281632	
CG34001	Q2PDX2	0.8880606		0.7445917
CG34008-RA	Q6IJL2	0.7913079		
CG3402	Q9W0P4	-0.2766753		
CG34039	Q2PDY0	0.4861859	0.02814484	
CG3408	Q9VT05	-0.7417474	-0.3315541	0.655535
CG34117	Q0KI97	-0.1691554	1.408875	0.09720625
CG34125	Q0E8T6	-0.1187585	0.7477741	NaN
CG34126	Q8IPL3	1.357012	-0.03945861	
CG3415	Q9VXJ0	-0.7288347	-0.4828553	-0.5438036
CG34150	Q0KI15	-0.9154826	0.2866446	-0.8886481
CG34159	Q9VL29	-1.276675	-1.848037	NaN
CG34191	A8DYH2	-0.2790552	-0.5809142	0.114367
CG3420	Q8SYQ8	-0.06832678	-0.1838673	0.3784007
CG34200	Q6IGW6	-1.050815	NaN	0.5592471
CG34228	Q6IGN6	-0.05380643		NaN
CG34246	A8JNT7			NaN
CG34252	A8JNV1	NaN		
CG34253	A8JNV2		NaN	
CG34261	A8JNW5	0.6552169		1.187704
CG3430	Q9VM60	0.1413028	0.4574367	0.3828332
CG34325-RA	Q8SY15	NaN	-0.9885617	NaN
CG3434	Q9VSZ6	-0.2800061	-0.1066378	-0.3257201
CG34348	Q9VZ05			NaN
CG34352	A8JTM7	0.03652584	0.1416943	-0.009161305
CG3436	Q7K1C0	NaN	-0.321261	0.6574571
CG3436	Q9VPK9	-0.2496274	-0.1892854	
CG34364	A8DQW8	0.1184293	0.3451693	0.4124021
CG3437	Q8SXJ3	NaN	0.3351402	-0.1417644
CG34383	A8JR01			NaN
CG34394	A8DYU3	NaN		NaN
CG34408	Q8IRL5	0.5250397		-0.08960503
CG34455-RC	Q7KUC2	-0.0939657	0.3816157	0.6042612
CG3446	Q9W402	0.6824412	0.02687089	0.08583257
CG3448	Q9VSZ2			NaN
CG3476	Q9VM51			0.1835818
CG3493	Q8T8Q5	-0.1585955	-0.4060248	-0.5948136
CG3499	Q9W1Y0	-0.2684343	-0.470189	-0.01052667
CG3500	Q8T924			NaN
CG3501	Q9W1Y1	0.5217634	0.6340356	0.362554
CG3509	Q8MSC4	1.204	2.176259	1.821873
CG3511	Q960Q8	0.2328877	-0.1685605	0.2123825
CG3520	Q8MQP1	-0.2549568	-0.4378577	0.236462
CG3523	B7Z001	-1.493032	-1.952155	-1.989363
CG3527	Q9W4J5	-2.435575	-2.241202	-2.305503
CG3529	Q9VSZ1			NaN
CG3532-RB	Q9VGE4	-0.1751732	-0.5321154	-0.4864284
CG3542	Q7KU25	0.1406506	0.05408442	0.246712
CG3548	Q9W140			NaN
CG3558	B7Z000			NaN
CG3560	Q9VXI6	0.293748	-0.4030648	-0.1054422
CG3563	Q7KSJ6	-1.62798		
CG3566	Q8IRR0	-3.831573	0.2356045	0.01192487
CG3570	Q9W138			NaN
CG3589	Q9W106			-0.3494376
CG3590	Q95SP9	0.398912	0.1307991	0.4838802
CG3603	Q9W4U2	-0.3556929	0.2756031	-0.05274529
CG3605	Q9VQK7	0.8064932	0.04977013	-0.1499367
CG3608	Q9W133	1.595838	0.1195554	-0.3038459
CG3609	Q9VQB4	0.4141914	0.9140286	0.5571895
CG3621-RA	O97418	0.1815911	0.345737	0.01920368
CG3624	Q9W258	-3.810237	-3.995989	-3.448398
CG3626	Q8MQN6			-0.3270045
CG3632	Q7YU03	-0.8519189	-0.1177091	-0.002888242
CG3634	Q9VPB1	NaN		
CG3645	Q9VPM1		-1.60073	NaN
CG3662	Q2PDW1	-0.47892		0.6794238
CG3663	Q9W127	-0.08024827	-0.07638679	0.2809564
CG3678	Q9VEQ2			0.514198
CG3679	Q9XZ22	4.517478		
CG3680	Q9VPB0	-3.033863	-0.6968447	
CG3683	Q8SY88	0.6556033	0.02743714	-0.09748641
CG3689	Q0E8G6	-0.1818022	-0.5500003	-0.1287241
CG3699	Q5BII6		NaN	
CG3702	Q9VQX6	0.1957812	-0.4307617	-0.973639
CG3714	Q9VQX4-2	0.4071148	0.1593708	0.1969846
CG3731	Q9VFF0	-0.01178193	-0.02742497	0.05241581
CG3756	Q9VMX3	NaN	-0.8461947	-0.557412
CG3760	Q8MMC4-1	-0.7118472	-0.336956	-0.6399391
CG3760	Q8MMC4-2	-0.4806788	0.2677155	-0.05434738
CG3773	Q8MQV7	0.5544215	0.9257717	0.5458696
CG3774	Q9W429			NaN
CG3792	Q9VMW8	-1.761455	0.3213509	0.6000794
CG3800	Q8T8R1	-0.5648171	-0.1938492	-0.3949608
CG3803	Q9W1F5	0.3152531		-0.3200178
CG3808	Q95R49	-0.4308206	-0.4967938	-0.3058062
CG3815	Q9W410			-0.3159353
CG3817	Q9VFE6	-2.816047	-2.233312	NaN
CG3837	Q8T001		2.368126	
CG3842	Q9W404	0.9307102	0.6505808	0.6938549
CG3847	Q8SXF3	0.39068	-1.148865	
CG3860	Q9W1D9	-0.06018582		-0.9066021
CG3887	Q9VMV6	0.451741	-0.2825966	-0.2813863
CG3902	Q95U46	-0.750778	0.1179609	-0.1590252
CG3909	Q9XZ19	-0.261952	-0.5149443	-0.1182257
CG3911	Q9VSY8	-0.2006298	0.03463829	-0.2401113
CG3925	Q9VH36	NaN		NaN
CG3947	Q9VPB9	0.108643	-0.547974	-0.1854578
CG3967	Q9VSY4-1			NaN
CG3980	Q9VQV7	-0.03167748		NaN
CG3983	Q8MT06	-3.112333	-2.258977	-3.524284
CG3984	Q9VFD0	-0.4112093		
CG3995	Q8MR15		NaN	
CG40002	Q7PL91	-0.181675	0.08433641	1.273576
CG40006	Q8SYC3	-0.03294719		
CG40042	Q8MRW1	-0.6309645	-0.9755101	-0.4524515
CG40045	Q8SYG3	2.108239	0.4548076	0.4686355
CG40160	A8Y546	0.6470833	0.4156505	0.1277653
CG40228	Q8MQI6-1	NaN	-0.1555019	
CG4030	Q9W2M0	0.6442395	0.009633875	0.4404207
CG4036	Q8MR16		-0.6490502	-0.6988339
CG4038	Q7KVQ0	-1.749406	-1.653854	-1.626959
CG4041	Q9W4F8		-0.1760551	-0.4238939
CG4042	Q8SYK3	1.00935	-0.6463605	-0.008870909
CG4045	O77263	-1.020413	-0.8784276	-0.4885319
CG40451	Q7PLT4	0.03405687	-0.6941112	-0.2932352
CG4049	Q9W1A8			0.298541
CG4061	O77264	-0.01763692	NaN	
CG40625	A8QI34		-0.2256494	
CG4065	Q9W1A2-1	-0.5784073	-0.2877828	0.1996252
CG4066	Q9VGA8	NaN	3.165269	
CG4068	A8JUX7		NaN	
CG4069	Q9VTZ7	-0.5541468	0.123931	-0.2447706
CG4074	Q9VPC3	-0.587173		-0.7605774
CG4078	Q9W484	0.1561287		NaN
CG4091	Q7KVH9-2	-0.7570233	0.7865127	
CG4098	Q8MQV8	1.284089		NaN
CG41099	Q7PLP5	0.08308011	0.1578198	0.06032421
CG41128	Q8SY69	0.7288374	-0.1657904	NaN
CG41555	A8QI26			NaN
CG41582	A8QI50	-0.3124328	-0.2271516	
CG4159	Q9VDK6	-0.9064289	-0.03793228	NaN
CG4164	Q9VPQ2	-0.000865329		-0.3535239
CG4165	Q9W4C3	-0.3192711	-0.4779241	-0.2964032
CG4169	Q9VV75	0.03308228	-0.2346859	0.004752986
CG4186	Q9VPC2	0.2325825	-0.5031185	
CG4199	O77266	0.7211826	0.9553128	0.6416385
CG4210	Q8I0M2		0.8133605	
CG42232	B7Z0I8	1.719994	2.241749	NaN
CG4224	Q961R7	NaN		
CG4225	Q9VF20	0.4893418	1.138487	0.8839335
CG42270	Q8T498-1	-1.407679	0.7042522	NaN
CG42307	B7Z0C9	-0.1910572		
CG42314	Q59DP9	-0.1420866	-0.2724193	-0.1493926
CG42321	B7YZF6			NaN
CG42321	B7YZF8	0.4505181	0.2431815	-0.1484488
CG42327	Q0KI81	NaN		
CG42336	B7YZF1			-1.133369
CG42351	B7YZK4	0.2203453	0.3812834	0.2722622
CG42358	Q9VDZ4	-0.6263924	-1.148001	-0.8996681
CG42360	Q9W135	-0.8623522		NaN
CG42371	B7YZZ0	0.1122096	-0.7427962	NaN
CG42373	B7Z018	0.3766013	0.1078218	
CG42374	B7Z073	-1.008559	NaN	
CG42375	B7Z0J4	-0.2738142		
CG42376	B7Z107	0.8959855	-0.4681719	
CG42389	B7YZW3	-0.8690818		NaN
CG4266	A8DYK5		NaN	-0.6579915
CG4267	Q9VQ96	-1.667029	1.323428	0.5594429
CG4279	Q9W2K2	2.622554	0.07601179	0.6140972
CG4289	Q9VPB8	-0.5355553	-0.287149	-0.4495524
CG4291	Q8MRL9	0.009277445		0.24245
CG4300	Q9VTW0	1.928292		2.060739
CG4331	Q86P51		NaN	
CG4332	Q9VYG3	0.3433298	0.3279173	0.4727997
CG4338	Q9VFA0	-0.7565963	0.2187192	NaN
CG4364	Q9VL96	-2.361123	-3.074001	-2.378944
CG4365	Q8IPU3	0.6178308	-0.2230369	0.3005338
CG4389	Q8IPE8	0.1610563	0.3512891	0.375957
CG4390	Q7KSB5	0.2256999	0.1315895	0.2370741
CG4398	A1ZAG1	0.8380736		
CG4406	Q8T4E1	NaN		0.40523
CG4407	Q8IR76	0.4943935	-1.268678	NaN
CG4408	Q7JVX3	0.5162641	0.7110543	0.5840003
CG4410	Q9VYI6	0.2516075	0.4984552	0.2672362
CG4420	Q9VXF9	-0.1726155	0.2470768	0.1514692
CG4447	Q8T0M6	-0.1724875		0.3021728
CG4449	Q8MSB4	1.240282		2.214715
CG4452	Q8IH34	-2.239551	-2.207028	NaN
CG4476	Q86P29	0.9003413	0.9762903	0.9833128
CG4495	A2VEI2			0.4212637
CG4502	Q9VM35		-1.335189	-2.085956
CG4511	Q9VGV8	-0.2735755	-0.2341937	-0.6299474
CG4538	Q8IN64	-0.5631581	-0.5763035	-0.3110588
CG4552	Q8MRS6	-0.2869995	2.072209	0.6524177
CG4554	Q8T3N8		-0.8970598	-1.214073
CG4557	Q9W3V2		-0.4837024	
CG4567	Q9VM33	-0.1777266	0.1178281	-0.3776693
CG4572	Q9VDT5	0.3743367	0.1035311	0.3139424
CG4573	Q8MZ14	-0.3491388	0.005184378	-0.135903
CG4585	O77475	NaN		NaN
CG4586	Q9W3U0	0.4907602	0.4128357	0.2813124
CG4592	Q95SQ5	2.704724	-1.186196	
CG4593	Q8SYD7	0.9324439	0.4261037	0.1840899
CG4594	Q9VL67	1.672911	NaN	1.101784
CG4598	Q9VL68	0.1080054	0.510253	0.256286
CG4603	Q9VRJ9	0.2460703	-0.1406506	0.4638317
CG4610	Q9W245	1.492403	3.496207	-0.2573901
CG4611	Q9VRJ7	0.293801	-0.1082386	-0.162751
