Accession	log2FC	t.ord	t.mod	p.ord	p.mod	q.ord	q.mod	sig	comparison	Description	Biological Process	Cellular Component	Molecular Function	Pfam IDs	Entrez Gene ID	Ensembl Gene ID	Gene Symbol	Chromosome	KEGG Pathways
O96692	0.200905216365253	1.45149157420335	1.776627269378	0.196843657578	0.0827645249892647	0.222189101859348	0.138286517448021	NO	Egg_WT - Oocyte_WT	RE63021p OS=Drosophila melanogaster GN=Rap2l PE=1 SV=1	regulation of biological process;response to stimulus	membrane	catalytic activity;nucleotide binding	Pf00071, Pf08477	37850	FBgn0025806	Rap2l	2R	
O96824	-0.0831763269300598	-0.581926708577998	-0.730444956005623	0.581805423474158	0.46911278798817	0.393468948585048	0.368949762459696	NO	Egg_WT - Oocyte_WT	CG14812, isoform B OS=Drosophila melanogaster GN=EG:131F2.3 PE=1 SV=1	regulation of biological process;response to stimulus	cytoplasm			31137	FBgn0026090	CG14812	X	mTOR signaling pathway
O96827	0.103787723500929	1.20229005507342	0.9833205010402	0.27454258024185	0.330996532999743	0.26285816687803	0.306615669587353	NO	Egg_WT - Oocyte_WT	Probable elongation factor 1-beta OS=Drosophila melanogaster GN=Ef1beta PE=1 SV=3	metabolic process	cytosol	RNA binding	Pf00736, Pf10587	45249	FBgn0028737	Ef1beta	2R	
O96838	0.205303213850966	2.55711435098512	1.95758993264762	0.0430757585795126	0.0568437844584458	0.116207009689637	0.112128057590202	NO	Egg_WT - Oocyte_WT	Putative 1-phosphatidylinositol 3-phosphate 5-kinase OS=Drosophila melanogaster GN=fab1 PE=1 SV=2	cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport	endosome;membrane	catalytic activity;metal ion binding;nucleotide binding;protein binding	Pf00118, Pf01363, Pf01504	37033	FBgn0028741	fab1	2R	Phagosome; Inositol phosphate metabolism; Phosphatidylinositol signaling system
O96880	0.0238470461281617	0.195207747121238	0.215973808973572	0.851672946137133	0.830038021480589	0.488273310091132	0.503715499422785	NO	Egg_WT - Oocyte_WT	GH11150p OS=Drosophila melanogaster GN=TfIIEalpha PE=1 SV=1	metabolic process;regulation of biological process	nucleus	DNA binding	Pf02002, Pf11521	39313	FBgn0015828	TfIIEalpha	3L	Basal transcription factors
O96881	-0.119097464704117	-0.935852876725414	-1.07079185979449	0.385468766672724	0.290286798936839	0.315377645724621	0.284882954781031	NO	Egg_WT - Oocyte_WT	Transcription initiation factor IIE subunit beta OS=Drosophila melanogaster GN=TfIIEbeta PE=1 SV=1	metabolic process;regulation of biological process	nucleus	DNA binding	Pf02186	38527	FBgn0015829	TfIIEbeta	3L	
O96989	0.130019369458203	1.09679168286955	1.18349855698942	0.314789459439496	0.243167872789864	0.281495528968198	0.254629318276479	NO	Egg_WT - Oocyte_WT	CDC45L OS=Drosophila melanogaster GN=CDC45L PE=1 SV=1	cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus	cytoplasm;nucleus	catalytic activity;DNA binding;protein binding	Pf02724	31052	FBgn0026143	CDC45L	X	
O97066	0.0567474124586322	0.6914389702711	0.540093179823845	0.515138249175572	0.591942611452674	0.36808185740803	0.421469070275511	NO	Egg_WT - Oocyte_WT	Signal peptidase complex catalytic subunit SEC11 OS=Drosophila melanogaster GN=twr PE=1 SV=1	metabolic process	endoplasmic reticulum;membrane	catalytic activity	Pf00717	40815	FBgn0262801	twr	3R	Protein export
O97102	0.213596202003323	1.73420668928455	1.93171705671624	0.133575938131887	0.0600576845006154	0.18668639715324	0.115737046096968	NO	Egg_WT - Oocyte_WT	Small ubiquitin-related modifier OS=Drosophila melanogaster GN=smt3 PE=1 SV=1	cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport	chromosome;nucleus	protein binding	Pf00240, Pf11976	33981	FBgn0264922	smt3	2L	RNA transport
O97111	0.230744541006962	2.55679264154514	2.17665252463167	0.0430944274716646	0.0350918061036558	0.116207009689637	0.0841046071091854	NO	Egg_WT - Oocyte_WT	LD29223p OS=Drosophila melanogaster GN=par-6 PE=1 SV=1	cell division;cell organization and biogenesis;cellular component movement;regulation of biological process;transport	membrane	protein binding	Pf00564, Pf00595	32752	FBgn0026192	par-6	X	Hippo signaling pathway - fly; Endocytosis
O97125	0.042915832303672	0.375773677883452	0.392960494025281	0.720012479459143	0.69630643207147	0.444211908713305	0.45927408903446	NO	Egg_WT - Oocyte_WT	Heat shock protein 68 OS=Drosophila melanogaster GN=Hsp68 PE=1 SV=1	cell organization and biogenesis;metabolic process;response to stimulus	mitochondrion	nucleotide binding;protein binding	Pf00012, Pf06723	42852	FBgn0001230	Hsp68	3R	Spliceosome; Endocytosis; Longevity regulating pathway - multiple species; Protein processing in endoplasmic reticulum
O97132	0.202983922274051	2.7470629399843	1.94780041206933	0.0334214749987161	0.0580419778308512	0.106334439113468	0.113461971389247	NO	Egg_WT - Oocyte_WT	Anoctamin OS=Drosophila melanogaster GN=Axs PE=3 SV=1	cell organization and biogenesis	endoplasmic reticulum;membrane		Pf04547	32645	FBgn0000152	Axs	X	
O97182	0.159583955135087	1.95809789557689	1.5197458482778	0.0979531024764311	0.135955878587768	0.162660037484224	0.184645643371698	NO	Egg_WT - Oocyte_WT	Actin related complex p41 subunit OS=Drosophila melanogaster GN=Arpc1 PE=1 SV=1	cell organization and biogenesis;regulation of biological process;response to stimulus;transport	cytoskeleton	protein binding;structural molecule activity	Pf00400	34793	FBgn0001961	Arpc1; Sop2	2L	Endocytosis
O97183	0.175132965768093	1.57407364576653	1.60993139025163	0.16653583089184	0.114792210118493	0.206772198760075	0.168034660650503	NO	Egg_WT - Oocyte_WT	GH07456p OS=Drosophila melanogaster GN=RpII33 PE=1 SV=1	metabolic process;response to stimulus	cytoplasm;nucleus	catalytic activity;DNA binding;protein binding	Pf01000, Pf01193	34796	FBgn0026373	RpII33	2L	RNA polymerase; Metabolic pathways; Purine metabolism; Pyrimidine metabolism
O97418	0.102552199624222	0.70751107170069	0.897780062436563	0.505787601106722	0.374344269292628	0.363774970667385	0.327409957506816	NO	Egg_WT - Oocyte_WT	CG3621, isoform A OS=Drosophila melanogaster GN=ND-B14.5A PE=1 SV=1	metabolic process	membrane	catalytic activity	Pf07347	31190	FBgn0025839	CG3621; ND-B14.5A	X	Metabolic pathways; Oxidative phosphorylation
O97428	0.221620526983751	2.01419102725205	2.04058273826925	0.0906267784704858	0.0475151953270962	0.155424019136277	0.100278586490766	NO	Egg_WT - Oocyte_WT	CG4944-PA, isoform A OS=Drosophila melanogaster GN=cib PE=1 SV=1	cell organization and biogenesis	cytosol	protein binding	Pf01290	31359	FBgn0026084	cib	X	
O97454	-0.201202391115816	-3.20040201925302	-1.94984219992608	0.0185906286189582	0.0577902938706821	0.082723164671627	0.113185371546071	NO	Egg_WT - Oocyte_WT	L(1)10Bb OS=Drosophila melanogaster GN=l(1)10Bb PE=1 SV=1	metabolic process	nucleus;spliceosomal complex		Pf01125	32069	FBgn0001491	l(1)10Bb	X	Spliceosome
O97477	0.122619897099279	1.85568332325836	1.1850663820742	0.112897267818496	0.242554094852681	0.171493976382814	0.254629318276479	NO	Egg_WT - Oocyte_WT	Inositol-3-phosphate synthase OS=Drosophila melanogaster GN=Inos PE=1 SV=1	metabolic process	cytoplasm	catalytic activity	Pf01658, Pf07994	35671	FBgn0025885	Inos	2R	Inositol phosphate metabolism; Metabolic pathways
P00001	1.97217214758022	14.3261360301816	17.4600513399239	7.23881619828693e-06	4.85542327133643e-21	0.00167871592863853	3.51818562802596e-18	YES	Egg_WT - Oocyte_WT	Spiked Bovine CSN1S1 in Wolfner lab									
P00002	0.533404498749945	6.89557946455243	5.10118071334365	0.000459409339197697	7.4016516200335e-06	0.0129574717616212	0.000120973405993767	YES	Egg_WT - Oocyte_WT	Spiked Bovine CSN2 in Wolfner lab									
P00334	0.0253118666244756	0.33640802592545	0.242572266872415	0.748017008039206	0.809499790226955	0.455009980215587	0.497289079241842	NO	Egg_WT - Oocyte_WT	Alcohol dehydrogenase OS=Drosophila melanogaster GN=Adh PE=1 SV=2	metabolic process;response to stimulus	cytosol	catalytic activity;protein binding	Pf00106, Pf08659	3771877		Adh	2L	Drug metabolism - cytochrome P450; Metabolic pathways; Tyrosine metabolism; Retinol metabolism; Metabolism of xenobiotics by cytochrome P450; Fatty acid degradation; Glycolysis / Gluconeogenesis
P00408	-0.0188139103964957	-0.188995408795529	-0.175545695525997	0.856327302812398	0.861481868412655	0.489821226403246	0.513349176139008	NO	Egg_WT - Oocyte_WT	Cytochrome c oxidase subunit 2 OS=Drosophila melanogaster GN=mt:CoII PE=3 SV=1	metabolic process;transport	membrane;mitochondrion	catalytic activity;metal ion binding;transporter activity	Pf00116, Pf02790	19893535	FBgn0013675	COX2	MT; dmel_mitochondrion_genome	Oxidative phosphorylation; Metabolic pathways
P02255	-1.79009341150043	-11.6503322684624	-15.4560430918799	2.4095400122691e-05	4.38773159213984e-19	0.00266487709482077	1.5896507229588e-16	YES	Egg_WT - Oocyte_WT	Histone H1 OS=Drosophila melanogaster GN=His1 PE=1 SV=1	cell organization and biogenesis;regulation of biological process	chromosome;nucleus	DNA binding;protein binding	Pf00538	3772075; 3772409; 3771910; 3771803; 3772702; 3771838; 3772225; 3772077; 3771981; 3772004; 3771912; 318854; 3772665; 3772715; 3771818; 3771879; 3771816	FBgn0053840; FBgn0053846; FBgn0053804; FBgn0053810; FBgn0053849; FBgn0053837; FBgn0053843; FBgn0053822; FBgn0053825; FBgn0053813; FBgn0051617; FBgn0053831; FBgn0053828; FBgn0053864; FBgn0053816; FBgn0053852; FBgn0053819	His1:CG33831; His1:CG33864; His1:CG33828; His1:CG33852; His1:CG33846; His1:CG33813; His1:CG33840; His1:CG33837; His1:CG33819; His1:CG33843; His1:CG33849; His1:CG31617; His1:CG33822; His1:CG33825; His1:CG33804; His1:CG33810; His1:CG33816	2L	
P02283	-0.0686243630721677	-0.899058760497741	-0.656951355527606	0.403257965827481	0.514742568751075	0.322658566937384	0.388379606345616	NO	Egg_WT - Oocyte_WT	Histone H2B OS=Drosophila melanogaster GN=His2B PE=1 SV=2	cell organization and biogenesis	chromosome;nucleus	DNA binding;protein binding	Pf00125, Pf00808	3772264; 3772575; 3772336; 3772203; 3772104; 3771809; 326273; 3772248; 3772276; 3772496; 3772265; 3772058; 3772094; 3772166; 3771957; 3772299; 3772271; 3772081; 3772502; 3771891; 3772099; 3772013; 3772083	FBgn0053868; FBgn0053908; FBgn0061209; FBgn0053902; FBgn0053874; FBgn0053910; FBgn0053900; FBgn0053890; FBgn0053882; FBgn0053894; FBgn0053876; FBgn0053886; FBgn0053872; FBgn0053896; FBgn0053884; FBgn0053892; FBgn0053906; FBgn0053870; FBgn0053888; FBgn0053878; FBgn0053904; FBgn0053880; FBgn0053898	His2B:CG33874; His2B:CG33884; His2B:CG33890; His2B:CG33904; His2B:CG33888; His2B:CG33872; His2B:CG17949; His2B:CG33898; His2B:CG33882; His2B:CG33880; His2B:CG33868; His2B:CG33902; His2B:CG33900; His2B:CG33892; His2B:CG33896; His2B:CG33910; His2B:CG33886; His2B:CG33870; His2B:CG33894; His2B:CG33878; His2B:CG33908; His2B:CG33906; His2B:CG33876	2L	
P02518	0.417132810789154	2.80553796168691	3.63033599804261	0.0309374174616074	0.000753144057820016	0.103889134335962	0.00534946444345632	YES	Egg_WT - Oocyte_WT	Heat shock protein 27 OS=Drosophila melanogaster GN=Hsp27 PE=1 SV=2	defense response;metabolic process;response to stimulus	cytoplasm;nucleus	protein binding	Pf00011	39078	FBgn0001226	Hsp27	3L	
P02828	0.134758200970078	2.3858525819695	1.31256134071357	0.054332650554095	0.196352094093974	0.128422796270755	0.227154668375745	NO	Egg_WT - Oocyte_WT	Heat shock protein 83 OS=Drosophila melanogaster GN=Hsp83 PE=1 SV=1	cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;membrane	nucleotide binding;protein binding	Pf00183, Pf02518, Pf13589	38389	FBgn0001233	Hsp83	3L	Protein processing in endoplasmic reticulum
P04052	0.205102358484762	2.2732449301718	1.93481610073473	0.0633847049801689	0.0596646747707247	0.13634102497798	0.115183904597938	NO	Egg_WT - Oocyte_WT	DNA-directed RNA polymerase II subunit RPB1 OS=Drosophila melanogaster GN=RpII215 PE=3 SV=4	metabolic process;regulation of biological process;response to stimulus	chromosome;nucleus	catalytic activity;DNA binding;metal ion binding	Pf00623, Pf04983, Pf04990, Pf04992, Pf04997, Pf04998, Pf05000	32100	FBgn0003277	RpII215	X	RNA polymerase; Pyrimidine metabolism; Purine metabolism; Metabolic pathways
P04359	-0.159389053508647	-2.07072694559607	-1.52488592839175	0.0838031034053894	0.134671052865287	0.150394709176701	0.183990394775255	NO	Egg_WT - Oocyte_WT	60S ribosomal protein L32 OS=Drosophila melanogaster GN=RpL32 PE=1 SV=3	metabolic process	chromosome;cytoplasm;ribosome	structural molecule activity	Pf01655	43573	FBgn0002626	RpL32	3R	Ribosome
P05205	0.223983575208578	2.85196939301717	2.13951790144598	0.0291063716332836	0.0381603267801185	0.101403008896617	0.0879656875831354	NO	Egg_WT - Oocyte_WT	Heterochromatin protein 1 OS=Drosophila melanogaster GN=Su(var)205 PE=1 SV=2	cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus	chromosome;nucleus	DNA binding;protein binding;RNA binding	Pf01393	34119	FBgn0003607	Su(var)205	2L	
P05389	0.0460998998941236	0.553029602206364	0.438161244574104	0.600225949811601	0.66348121148402	0.401450347658293	0.449752797628752	NO	Egg_WT - Oocyte_WT	60S acidic ribosomal protein P2 OS=Drosophila melanogaster GN=RpLP2 PE=1 SV=1	metabolic process	ribosome	structural molecule activity	Pf00428	36855	FBgn0003274	RpLP2	2R	Ribosome
P05990	0.145450278719412	1.56968080260018	1.36827900144878	0.167541525334232	0.178391814810939	0.207608114773587	0.215001494267776	NO	Egg_WT - Oocyte_WT	CAD protein OS=Drosophila melanogaster GN=r PE=1 SV=3	metabolic process	cytoplasm	catalytic activity;metal ion binding;nucleotide binding	Pf00117, Pf00185, Pf00289, Pf00988, Pf01071, Pf02142, Pf02222, Pf02729, Pf02786, Pf02787, Pf07478, Pf07722, Pf08443, Pf13147, Pf13535, Pf13594, Pf15632	32640	FBgn0003189	r	X	Metabolic pathways; Pyrimidine metabolism; Alanine, aspartate and glutamate metabolism
P06605	-0.0239023520544439	-0.198205675935411	-0.216951993339902	0.84942918976477	0.829280478757721	0.488127766173538	0.503497864095275	NO	Egg_WT - Oocyte_WT	Tubulin alpha-3 chain OS=Drosophila melanogaster GN=alphaTub84D PE=2 SV=1	cell organization and biogenesis	cytoplasm;cytoskeleton	catalytic activity;nucleotide binding;protein binding;structural molecule activity	Pf00091, Pf03953	40904	FBgn0003885	alphaTub84D	3R	Phagosome
P06606	0.226731874179899	2.61831496874775	2.14750351897692	0.0396757137381534	0.0374811995450763	0.113390435525993	0.0869534464220782	NO	Egg_WT - Oocyte_WT	Tubulin alpha-4 chain OS=Drosophila melanogaster GN=alphaTub67C PE=3 SV=1	cell division;cell organization and biogenesis;transport	cytoplasm;cytoskeleton;membrane;nucleus	catalytic activity;nucleotide binding;structural molecule activity	Pf00091, Pf03953	39130	FBgn0087040	alphaTub67C	3L	Phagosome
P07486	0.0725107450010736	1.3980672471498	0.708633668551765	0.211592154584717	0.482408224448512	0.229772658301452	0.374469160843734	NO	Egg_WT - Oocyte_WT	Glyceraldehyde-3-phosphate dehydrogenase 1 OS=Drosophila melanogaster GN=Gapdh1 PE=2 SV=2	metabolic process	cytoplasm	catalytic activity;nucleotide binding	Pf00044, Pf02800	35728	FBgn0001091	Gapdh1	2R	Biosynthesis of amino acids; Carbon metabolism; Metabolic pathways; Glycolysis / Gluconeogenesis
P07487	0.157042525990054	2.15913597384749	1.50861364447004	0.0741652354941648	0.138772099207201	0.145263225178156	0.186527568402992	NO	Egg_WT - Oocyte_WT	Glyceraldehyde-3-phosphate dehydrogenase 2 OS=Drosophila melanogaster GN=Gapdh2 PE=1 SV=2	metabolic process	cytoplasm	catalytic activity;nucleotide binding	Pf00044, Pf02800	32545	FBgn0001092	Gapdh2	X	Glycolysis / Gluconeogenesis; Biosynthesis of amino acids; Metabolic pathways; Carbon metabolism
P07909	0.0655989680038065	0.468248340572785	0.578610114956075	0.656133593806733	0.565896176635424	0.422277067134948	0.409709155810466	NO	Egg_WT - Oocyte_WT	Heterogeneous nuclear ribonucleoprotein A1 OS=Drosophila melanogaster GN=Hrb98DE PE=2 SV=1	regulation of biological process	nucleus	DNA binding;RNA binding	Pf00076, Pf13893, Pf14259	43385	FBgn0001215	Hrb98DE	3R	Spliceosome
P08111	-0.0264465550090076	-0.553628924202249	-0.259168739535235	0.599840529509309	0.796752188322706	0.401450347658293	0.494762974355447	NO	Egg_WT - Oocyte_WT	Lethal(2) giant larvae protein OS=Drosophila melanogaster GN=l(2)gl PE=1 SV=2	cell division;cell organization and biogenesis;cell proliferation;development;regulation of biological process;response to stimulus;transport	cytoplasm;cytoskeleton;cytosol;extracellular;membrane	enzyme regulator activity;protein binding	Pf08366	33156	FBgn0002121	l(2)gl	2L	Hippo signaling pathway - fly
P08181	-0.00892613783335783	-0.120394259019327	-0.0856332552548491	0.908101238337655	0.932158796616088	0.50279371926613	0.530721751700906	NO	Egg_WT - Oocyte_WT	Casein kinase II subunit alpha OS=Drosophila melanogaster GN=CkIIalpha PE=1 SV=2	cell communication;cellular component movement;metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytosol;nucleus	catalytic activity;enzyme regulator activity;nucleotide binding;protein binding;receptor activity;signal transducer activity	Pf00069, Pf01633, Pf01636, Pf07714	48448	FBgn0264492	CkIIalpha	3L	Wnt signaling pathway; Ribosome biogenesis in eukaryotes
P08182	0.110406035381308	1.23585712023344	1.0425485279345	0.262699068335168	0.303032487276793	0.256690298725477	0.292116140270882	NO	Egg_WT - Oocyte_WT	Casein kinase II subunit beta OS=Drosophila melanogaster GN=CkIIbeta PE=2 SV=2	cell communication;metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytosol;nucleus	catalytic activity;enzyme regulator activity	Pf01214	32132	FBgn0000259	CkIIbeta	X	Ribosome biogenesis in eukaryotes; Wnt signaling pathway
P08266	0.360075327070559	3.49667425621517	3.34552757485515	0.0128783252103198	0.00172138283590784	0.0740465679936897	0.00993294813016616	NO	Egg_WT - Oocyte_WT	DNA-directed RNA polymerase II subunit RPB2 OS=Drosophila melanogaster GN=RpII140 PE=2 SV=2	metabolic process	nucleus	catalytic activity;DNA binding;metal ion binding	Pf00562, Pf04560, Pf04561, Pf04563, Pf04565, Pf04566, Pf04567	41721	FBgn0262955	RpII140	3R	Metabolic pathways; Pyrimidine metabolism; Purine metabolism; RNA polymerase
P08570	-0.0803390901373149	-0.964474968865889	-0.763640144549086	0.372054466637338	0.449286583809449	0.309533402527277	0.36118497222629	NO	Egg_WT - Oocyte_WT	60S acidic ribosomal protein P1 OS=Drosophila melanogaster GN=RpLP1 PE=1 SV=2	metabolic process;regulation of biological process	ribosome	enzyme regulator activity;protein binding;structural molecule activity	Pf00428	33214	FBgn0002593	RpLP1	2L	Ribosome
P08645	-0.042346444400744	-0.428589508818033	-0.395476161055805	0.683181685723654	0.694463233996386	0.432090230286987	0.458984790376882	NO	Egg_WT - Oocyte_WT	Ras-like protein 3 OS=Drosophila melanogaster GN=R PE=2 SV=2	cell organization and biogenesis;cellular component movement;regulation of biological process;response to stimulus	membrane	catalytic activity;nucleotide binding;protein binding	Pf00071, Pf08477	38244	FBgn0004636	R; Rap1	3L	
P08646	0.0336825582344895	0.306809401439836	0.310234104335008	0.769357366804675	0.757894236109901	0.462202318371288	0.480456450472126	NO	Egg_WT - Oocyte_WT	Ras-like protein 1 OS=Drosophila melanogaster GN=Ras85D PE=1 SV=2	cell communication;cell differentiation;cell growth;cell organization and biogenesis;cell proliferation;cellular component movement;metabolic process;regulation of biological process;response to stimulus;transport	membrane	catalytic activity;nucleotide binding;protein binding	Pf00009, Pf00071, Pf08477	41140	FBgn0003205	Ras85D	3R	MAPK signaling pathway - fly; Dorso-ventral axis formation; FoxO signaling pathway; Apoptosis - fly; AGE-RAGE signaling pathway in diabetic complications; Longevity regulating pathway - multiple species; mTOR signaling pathway
P08928	0.880432411889434	6.09435805797307	7.71342491667004	0.000888571228428487	1.27943128418135e-09	0.0189440187440639	5.24751882800381e-08	YES	Egg_WT - Oocyte_WT	Lamin Dm0 OS=Drosophila melanogaster GN=Lam PE=1 SV=4	cell communication;cell division;cell organization and biogenesis;regulation of biological process;response to stimulus;transport	cytoplasm;cytoskeleton;Golgi;membrane;nucleus	catalytic activity;motor activity;protein binding;structural molecule activity;transporter activity	Pf00038, Pf00932, Pf01496, Pf01576, Pf08317, Pf09731, Pf12128, Pf13166, Pf14643, Pf15070	33782	FBgn0002525	Lam	2L	Apoptosis - fly
P08985	0.0130836873221316	0.0729358198669492	0.108207726521869	0.944227822793037	0.914338502383029	0.512279265499752	0.526756980487823	NO	Egg_WT - Oocyte_WT	Histone H2A.v OS=Drosophila melanogaster GN=His2Av PE=1 SV=2	development;metabolic process;regulation of biological process;response to stimulus	chromosome;nucleus	DNA binding;protein binding	Pf00125	43229	FBgn0001197	His2Av	3R	
P09180	-0.169090143867829	-1.80276866736537	-1.58857685036735	0.121485703751627	0.119544333439517	0.178185534832376	0.171752463958633	NO	Egg_WT - Oocyte_WT	60S ribosomal protein L4 OS=Drosophila melanogaster GN=RpL4 PE=1 SV=2	metabolic process	ribosome	RNA binding;structural molecule activity	Pf00573, Pf14374	43349	FBgn0003279	RpL4	3R	Ribosome
P0C919	0.215506605198851	1.46285192123598	1.87961288192072	0.193832202722299	0.0670054146788219	0.220551052410411	0.122723226681491	NO	Egg_WT - Oocyte_WT	Molybdopterin synthase sulfur carrier subunit OS=Drosophila melanogaster GN=Mocs2 PE=3 SV=1	metabolic process	cytoplasm;cytosol	catalytic activity;nucleotide binding	Pf02597	8674021	FBgn0260229	CG42503	3R	
P0DKM0	0.423109196820083	2.3902620813289	3.51362229839996	0.0540069425250477	0.00106057852420114	0.128382919246765	0.00688194077977252	YES	Egg_WT - Oocyte_WT	Cytochrome c oxidase assembly factor 3, mitochondrial OS=Drosophila melanogaster GN=Ccdc56 PE=3 SV=1		membrane;mitochondrion		Pf09813	39320	FBgn0261353	Ccdc56; CG42630	3L	
P10090	0.675800991389725	3.93031198298825	5.66083081403048	0.00770997814347619	1.16532606807244e-06	0.0623714171918121	2.58206776556865e-05	YES	Egg_WT - Oocyte_WT	Protein white OS=Drosophila melanogaster GN=w PE=2 SV=2	metabolic process;response to stimulus;transport	membrane	catalytic activity;nucleotide binding;transporter activity	Pf00005, Pf01061, Pf03193, Pf13304, Pf13481	31271		w	X	
P10987	0.0671995284327611	1.07273757219457	0.651348685884679	0.324627517568046	0.518316643296756	0.286011441464231	0.389791488069598	NO	Egg_WT - Oocyte_WT	Actin-5C OS=Drosophila melanogaster GN=Act5C PE=1 SV=4	cell organization and biogenesis;response to stimulus;transport	cytoplasm;cytoskeleton	nucleotide binding;protein binding;structural molecule activity	Pf00022	31521	FBgn0000042	Act5C	X	Hippo signaling pathway - fly; Phagosome; Phototransduction - fly
P11046	-0.972650036132295	-7.57771943681773	-8.73109020173336	0.000274556152023195	4.81571534596406e-11	0.00971250687006589	2.68416439040346e-09	YES	Egg_WT - Oocyte_WT	Laminin subunit beta-1 OS=Drosophila melanogaster GN=LanB1 PE=1 SV=4	cell organization and biogenesis;cellular component movement;defense response;regulation of biological process;response to stimulus;transport	extracellular	catalytic activity;motor activity;protein binding;structural molecule activity	Pf00053, Pf00055, Pf01576, Pf03207, Pf04513, Pf05667, Pf05701, Pf07464, Pf08614, Pf12128, Pf12718, Pf13166, Pf13949	34068	FBgn0261800	LanB1	2L	ECM-receptor interaction
P11147	0.162044289864728	2.27040065430695	1.55864925613701	0.0636326993381179	0.126471457986722	0.136589498510377	0.178129108053592	NO	Egg_WT - Oocyte_WT	Heat shock 70 kDa protein cognate 4 OS=Drosophila melanogaster GN=Hsc70-4 PE=1 SV=3	cell organization and biogenesis;cellular component movement;metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;membrane;mitochondrion;nucleus;spliceosomal complex	nucleotide binding;protein binding	Pf00012, Pf06723	41840	FBgn0266599	Hsc70-4	3R	Longevity regulating pathway - multiple species; Endocytosis; Spliceosome; Protein processing in endoplasmic reticulum
P11584	-0.209773623085811	-1.88405623568703	-1.92816445726268	0.108542899050537	0.0605109447145282	0.168324434032621	0.115991252573991	NO	Egg_WT - Oocyte_WT	Integrin beta-PS OS=Drosophila melanogaster GN=mys PE=1 SV=3	cell organization and biogenesis;cellular component movement;development;regulation of biological process;response to stimulus	membrane	protein binding;receptor activity	Pf00362, Pf07965, Pf08725	44885	FBgn0004657	mys	X	Phagosome; ECM-receptor interaction
P12370	0.0727268758127284	0.772673436649577	0.682996060320921	0.469049867299262	0.498303669769005	0.349414514091032	0.382372293775071	NO	Egg_WT - Oocyte_WT	cAMP-dependent protein kinase catalytic subunit OS=Drosophila melanogaster GN=Pka-C1 PE=1 SV=3	cell growth;metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytosol;membrane	catalytic activity;nucleotide binding;protein binding	Pf00069, Pf07714, Pf14531	34284	FBgn0000273	Pka-C1	2L	Wnt signaling pathway; Hedgehog signaling pathway - fly; Longevity regulating pathway - multiple species
P12426	0.134475304262603	1.37479193647133	1.25737502353036	0.218328168051579	0.215461192178745	0.233443684167588	0.239926642664109	NO	Egg_WT - Oocyte_WT	Adenine phosphoribosyltransferase OS=Drosophila melanogaster GN=Aprt PE=2 SV=3	metabolic process	cytoplasm	catalytic activity	Pf00156	48224	FBgn0000109	Aprt	3L	Metabolic pathways; Purine metabolism
P12613	0.0374740446704056	0.403528891121323	0.352442772766156	0.70054666511793	0.726242368074584	0.437019289261522	0.469286978431993	NO	Egg_WT - Oocyte_WT	T-complex protein 1 subunit alpha OS=Drosophila melanogaster GN=T-cp1 PE=2 SV=2	metabolic process;transport	cytoplasm;cytosol	nucleotide binding;protein binding	Pf00118	42649	FBgn0003676	T-cp1	3R	
P12646	0.0986081237458407	1.1068021719363	0.931395673939909	0.310768738668988	0.356892668402525	0.280518472060741	0.319259818327121	NO	Egg_WT - Oocyte_WT	Glucose-6-phosphate 1-dehydrogenase OS=Drosophila melanogaster GN=Zw PE=1 SV=2	metabolic process		catalytic activity;nucleotide binding	Pf00479, Pf02781	32974		Zw	X	Pentose phosphate pathway; Glutathione metabolism; Carbon metabolism; Metabolic pathways
P12881	-0.116712967612004	-1.18858275437755	-1.09079339377557	0.279510094220001	0.281489487321337	0.266018007429071	0.279552265113067	NO	Egg_WT - Oocyte_WT	Proteasome subunit alpha type-1 OS=Drosophila melanogaster GN=Prosalpha6 PE=1 SV=1	metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytosol;nucleus;proteasome	catalytic activity	Pf00227, Pf10584	34359	FBgn0250843	Pros35; Prosalpha6	2L	Proteasome
P13008	-0.155893758128041	-0.705617378099362	-1.19705399885197	0.506883441584977	0.237898401730941	0.364178362470515	0.251900692605853	NO	Egg_WT - Oocyte_WT	40S ribosomal protein S26 OS=Drosophila melanogaster GN=RpS26 PE=1 SV=1	metabolic process	ribosome	protein binding;RNA binding;structural molecule activity	Pf01283	35098	FBgn0261597	RpS26	2L	Ribosome
